filename,itemID,taskID,text
20,1,1,"メルカリで購入したものを完読したので出品いたします。三國志好きには読みごたえのある作品ですのでぜひ読んでいただきたいです。汚れも少なく良品です。
"
20,1,2,"メルカリで購入後完読したため出品いたします。三國志好きには読みごたえの抜群の作品です。ぜひご覧ください。使用感は少なくとても良い状態です。
"
20,1,4,"吉川英治の名作『三国志』全8巻セットを出品いたします。このセットは、中国古代の英雄たちとその壮大な物語を描いた歴史小説の決定版であり、多くの読者に愛され続けています。吉川英治は、精緻な描写と深い人間理解をもって、三国時代の複雑な政治と戦争を見事に再現しています。それぞれの登場人物の魅力的な描写と、緻密なストーリーテリングで、歴史の偉大なドラマに引き込まれることでしょう。

全8巻揃っているため、一気に読み進めることができます。書棚に並べておくだけでも、大変見栄えが良く、読書好きの方へのギフトにも最適です。長年に渡って語り継がれてきた物語を、この機会にぜひ手に取ってみてください。状態は良好で、特に目立ったダメージは見受けられません。歴史小説や中国史に興味のある方には、必読の書となることでしょう。興味のある方は、この機会にぜひお求めください。"
20,2,1,"数年前に販売され、現在生産していないシリーズが多い多方面で話題になったフランク三浦。

そのフランク三浦の中でもヤクルトスワローズのマスコットキャラクターつば九郎とのコラボモデルです。

つば九郎の人気にあやかったフランク三浦の限定品はつば九郎ファン、フランク三浦コレクターは是非とも手に入れたいレアアイテムです。状態は良く、ガラス面のシールもはがしておりません。

ぜひこの機会に２度と手に入らないかもしれない一品をご検討ください！"
20,2,2,"数年前に販売され、現在は生産されていない多方面で話題になったフランク三浦です。


その中でも特に希少な、ヤクルトスワローズのマスコットキャラクター「つば九郎」とのコラボモデルです。

つば九郎ファンやフランク三浦コレクターにはたまらない、限定のレアアイテムです！

状態は非常に良く、ガラス面のシールもそのままです。

この機会に２度と手に入らないかもしれない一品を是非ご検討ください！"
20,2,4,"こちらは、フランク三浦のつば九郎モデル腕時計です。シンプルでありながら洗練されたデザインが特徴で、つば九郎ファンにはたまらない一品となっています。文字盤にはつば九郎のユニークなイラストがあしらわれており、遊び心も兼ね備えたデザインが魅力です。また、シルバーのケースと調和したブラックのベルトが、普段使いにもビジネスシーンにもぴったりの一本です。

この腕時計は軽量で装着感も良く、長時間の着用でも疲れを感じにくい作りになっています。サイズは一般的な男性用腕時計サイズで、腕回りにフィットしやすいのもポイントです。時計としての機能性も高く、日常生活に必要な防水加工も施されています。一度は是非手に取ってみてください。

つば九郎のファン、そしてフランク三浦のファンの方々にとってコレクションアイテムとしても価値のある時計です。大切な方へのプレゼントとしても喜ばれることでしょう。出品は限られた数量のみとなっていますので、お早めにご検討ください。お買い逃しのないよう、この機会に是非どうぞ。"
16,1,1,"今は日本市場から撤退したフランスの香水メーカー「ラルチザンパフューム」の名作「シャッセオパピオン」、長く香る「エクストリーム」です。
未だにファンが多くいるこちらの香りですが、なかなか上手に使えないため、今回出品いたします。
ラルチザンがお好きな方、大切にお迎えして頂ける方にお譲りできたらと思います。
表参道で3年前に購入、冷暗所に保存していました。
箱あります。
参考価格（購入時価格）：￥19,800"
16,1,2,"今は日本市場から撤退してしまい、もう日本では手に入らないフランスの香水メーカー「ラルチザンパフューム」の名作「シャッセオパピオン」、長く香る「エクストリーム」です。
多くのファンに愛され続けているこの香り、なかなか上手に使いこなせないため、今回出品いたします。
ラルチザンがお好きな方、大切にお迎えして頂ける方にお譲りできたらと思います。
表参道のアニヴェルセルで購入後、冷暗所で丁寧に保管していました。購入は約3年前です。
参考価格（購入時価格）：￥19,800"
16,1,4,"商品説明文：

ラルチザンパフューム シャッセオパヒヨンは、フレグランス愛好家の間で高い評価を受けている香水です。この美しい香りは、フランスの伝統と革新が融合したアートそのもの。一瞬で心をつかむ上品な香りが、日常を特別なものに変えてくれます。

シャッセオパヒヨン（追いかける蝶）という名前の通り、この香水は軽やかでありながらも深みのある香りが広がります。トップノートはベルガモットとネロリが爽やかに香り、ミドルノートではミモザとチュベローズが柔らかさを引き立てます。ラストにはサンダルウッドとバニラが、温かみと持続力を加えてくれます。

こちらの商品は、一度使用しましたが残量はほぼ完全にあります。付属のパッケージも綺麗な状態ですので、プレゼントにも最適です。上質な香りをお探しの方や、大切な人への特別な贈り物として、ぜひご検討ください。質問などございましたらお気軽にお問い合わせください。"
16,2,1,"シンプルなホワイトの文字盤とゴールドのコントラストが美しい、北欧スカーゲンの腕時計です。
3年前に購入しましたが、身につける機会が少ないためにきれいなうちにお譲りしたいと思い、出品いたしました。
箱有り、ペットなし、禁煙者なしです

購入価格：￥19,800
購入場所：公式オンラインショップ

特に傷等ございませんが、ユーズドであることをご理解いただける方のみご購入をお願いいたします。"
